date,item_reference,product_name,description,size,price,category,product_type,quantity
11/15/2018,1090139,Paiter AC Hair Clipper - HC-9806C,Paiter AC Hair Clipper - HC-9806C,,4000,"Beauty, Health & Personal Care",blackfriday,16
11/15/2018,1098468,Handheld Massager - PM-3212,Handheld Massager - PM-3213,,4000,"Beauty, Health & Personal Care",blackfriday,17
11/15/2018,1178750,Paiter Ionic Flat & Curling Iron - HC-7101,Paiter Ionic Flat & Curling Iron - HC-7102,,4000,"Beauty, Health & Personal Care",blackfriday,30
11/15/2018,1652046,Frosted Transparent Super Slim Cover Case for iPhone 6 Plus,Frosted Transparent Super Slim Cover Case for iPhone 6 Plus,,4000,Phones and Tablets,blackfriday,19
11/15/2018,2075586,Man Mini Rechargeable Shaver  -T-262,Man Mini Rechargeable Shaver  -T-263,,4000,"Beauty, Health & Personal Care",blackfriday,18
11/15/2018,2075611,Paiter Traveling Hair Dryer,Paiter Traveling Hair Dryer,,4000,"Beauty, Health & Personal Care",blackfriday,30
11/15/2018,2075612,Lady Eyebrow Trimmer,Lady Eyebrow Trimmer,,4000,"Beauty, Health & Personal Care",blackfriday,18
11/15/2018,2075614,Men' Nose & Ear Trimmer Set ES-513,Men' Nose & Ear Trimmer Set ES-514,,4000,"Beauty, Health & Personal Care",blackfriday,20
11/15/2018,2075619,Paiter Traveling Hair Dryer-1400W,Paiter Traveling Hair Dryer-1400W,,4000,"Beauty, Health & Personal Care",blackfriday,30
11/15/2018,2075632,Hair Clipper  CF-968,Hair Clipper  CF-969,,4000,"Beauty, Health & Personal Care",blackfriday,34
11/15/2018,2075647,Paiter Precise Cutting Blade,Paiter Precise Cutting Blade,,4000,"Beauty, Health & Personal Care",blackfriday,30
11/15/2018,2075656,Lady Trimmer Set,Lady Trimmer Set,,4000,"Beauty, Health & Personal Care",blackfriday,30
11/15/2018,2075673,Paiter Professional Hair Flat Iron,Paiter Professional Hair Flat Iron,,4000,"Beauty, Health & Personal Care",blackfriday,19
11/15/2018,2075677,Professional Hair Clipper,Professional Hair Clipper,,4000,"Beauty, Health & Personal Care",blackfriday,18
11/15/2018,2075685,Cord & Cordless Grooming Set-5 in 1-  G-245,Cord & Cordless Grooming Set-5 in 1-  G-246,,4000,"Beauty, Health & Personal Care",blackfriday,23
11/15/2018,2075686,Rechargeable Hair Clipper - PH-2651,Rechargeable Hair Clipper - PH-2652,,4000,"Beauty, Health & Personal Care",blackfriday,27
11/15/2018,2075687,Nose & Ear Hair Trimmer | ES-702,Nose & Ear Hair Trimmer | ES-703,,4000,"Beauty, Health & Personal Care",blackfriday,25
11/15/2018,2075745,Paiter Man Shaver - PS-8510,Paiter Man Shaver - PS-8511,,4000,"Beauty, Health & Personal Care",blackfriday,30
11/15/2018,2075747,Lady Shaver,Lady Shaver,,4000,"Beauty, Health & Personal Care",blackfriday,30
11/15/2018,2075825,Nose & Ear Hair Trimmer - ES-808,Nose & Ear Hair Trimmer - ES-809,,4000,"Beauty, Health & Personal Care",blackfriday,36
11/15/2018,2567376,Water Dispenser - NX-015,Water Dispenser - NX-016,,4000,Home and Kitchen,blackfriday,7
11/15/2018,2642898,Blender Smoothie - BL237,Blender Smoothie - BL238,,4000,Home and Kitchen,blackfriday,8
11/15/2018,2642914,Smoothie Blender & Maker SB266,Smoothie Blender & Maker SB267,,4000,Home and Kitchen,blackfriday,12
11/15/2018,2642916,Electric Juice Extractor & Citrus Press - JE280,Electric Juice Extractor & Citrus Press - JE281,,4000,Home and Kitchen,blackfriday,7
11/15/2018,2762111,Heavy-Duty Fan - HDF-1820,Heavy-Duty Fan - HDF-1821,,4000,Home and Kitchen,blackfriday,10
11/15/2018,2762119,Multipurpose Floor & Wall Fan - TSF 2000,Multipurpose Floor & Wall Fan - TSF 2001,,4000,Home and Kitchen,blackfriday,9
11/15/2018,2767112,Steam Iron - SI-1850,Steam Iron - SI-1850,,4000,Home and Kitchen,blackfriday,10
11/15/2018,2779301,Steam Iron - SI-1500,Steam Iron - SI-1500,,4000,Home and Kitchen,blackfriday,14
11/15/2018,2838325,Dry Iron DI-1255,Dry Iron DI-1256,,4000,Home and Kitchen,blackfriday,8
11/15/2018,2947620,"18"" Rechargeable Fan FRC-45-D","18"" Rechargeable Fan FRC-45-D",,4000,Home and Kitchen,blackfriday,29
11/15/2018,2983559,Flat Tummy Tea with Moringa,Flat Tummy Tea with Moringa,,4000,"Beauty, Health & Personal Care",blackfriday,29
11/15/2018,3047715,Kenwood Blender - 1 Litre-BL335,Kenwood Blender - 1 Litre-BL336,,4000,Home and Kitchen,blackfriday,8
11/15/2018,3047716,Kenwood Blender 1.5L - BL440,Kenwood Blender 1.5L - BL441,,4000,Home and Kitchen,blackfriday,12
11/15/2018,3049420,Kenwood Hand Mixer - HM430,Kenwood Hand Mixer - HM431,,4000,Home and Kitchen,blackfriday,7
11/15/2018,3123632,Family 2.0 Water Purifier,Family 2.0 Water Purifier,,4000,Home and Kitchen,blackfriday,7
11/15/2018,3160574,Haier Thermocool Gas Cooker - Supreme SC504G-A,Haier Thermocool Gas Cooker - Supreme SC504G-A,,4000,Home and Kitchen,blackfriday,11
11/15/2018,3162560,Air Conditioner - 1.5HP Supercool Premium HSU-12SPWI + Free Installation kit + Free Installation,Air Conditioner - 1.5HP Supercool Premium HSU-12SPWI + Free Installation kit + Free Installation,,4000,Home and Kitchen,blackfriday,45
11/15/2018,3223212,Knife Sharpener - Green,Knife Sharpener - Green,,4000,Home and Kitchen,blackfriday,12
11/15/2018,3223213,Knife Sharpener - Red,Knife Sharpener - Red,,4000,Home and Kitchen,blackfriday,95
11/15/2018,3223228,Mini Knife Sharpener - Green,Mini Knife Sharpener - Green,,4000,Home and Kitchen,blackfriday,21
11/15/2018,3223230,Mini Knife Sharpener - Red,Mini Knife Sharpener - Red,,4000,Home and Kitchen,blackfriday,20
11/15/2018,3224555,Knife Sharpener,Knife Sharpener,,4000,Home and Kitchen,blackfriday,140
11/15/2018,3224560,Mini Knife Sharpener - Blue & Black,Mini Knife Sharpener - Blue & Black,,4000,Home and Kitchen,blackfriday,24
11/15/2018,3272398,NX-65 Water Wave Finish Bar Fridge - 65Litres,NX-65 Water Wave Finish Bar Fridge - 65Litres,,4000,Home and Kitchen,blackfriday,19
11/15/2018,3279221,Slim Fit Drop Protection Case for Google Pixel XL - Silver,Slim Fit Drop Protection Case for Google Pixel XL - Silver,,4000,Phones and Tablets,blackfriday,15
11/15/2018,3279230,Slim Fit Drop Protection Case for Google Pixel,Slim Fit Drop Protection Case for Google Pixel,,4000,Phones and Tablets,blackfriday,15
11/15/2018,3289185,PS - Power - Wooden - 4G Enabled - 6200 maH - FingerPrint + Free Phone Pouch,PS - Power - Wooden - 4G Enabled - 6200 maH - FingerPrint + Free Phone Pouch,,4000,Phones and Tablets,blackfriday,7
11/15/2018,3290338,PS-Power Phone- 4G Enabled 6200maH Rear FingerPrint + Free Phone Pouch,PS-Power Phone- 4G Enabled 6200maH Rear FingerPrint + Free Phone Pouch,,4000,Phones and Tablets,blackfriday,10
11/15/2018,3290340,PS-Power Phone- 4G Enabled 6200maH Rear Fingerprint + Free Phone Pouch,PS-Power Phone- 4G Enabled 6200maH Rear Fingerprint + Free Phone Pouch,,4000,Phones and Tablets,blackfriday,9
11/15/2018,3306361,"PS2 Pink - 3GB Ram + 16GB ROM, 20MP + 13MP","PS2 Pink - 3GB Ram + 16GB ROM, 20MP + 13MP",,4000,Phones and Tablets,blackfriday,11
11/15/2018,3313057,"16"" Rechargeable Fan NX-RF4520R","16"" Rechargeable Fan NX-RF4520R",,4000,Home and Kitchen,blackfriday,40
11/15/2018,3313066,"16"" Rechargeable Fan NX-RF4521R + USB Port","16"" Rechargeable Fan NX-RF4521R + USB Port",,4000,Home and Kitchen,blackfriday,188
11/15/2018,3315105,Toilet Paper Holder,Toilet Paper Holder,,4000,Home and Kitchen,blackfriday,14
11/15/2018,3352429,Onion & Vegetable Manual Chopper,Onion & Vegetable Manual Chopper,,4000,Home and Kitchen,blackfriday,7
11/15/2018,3356125,White Light Tooth Whitening Kit,White Light Tooth Whitening Kit,,4000,"Beauty, Health & Personal Care",blackfriday,8
11/15/2018,3367230,Gas Cooker - Supreme SC504G-A - Black,Gas Cooker - Supreme SC504G-A - Black,,4000,Home and Kitchen,blackfriday,24
11/15/2018,3368904,6kg Top Load Washer - Blue | Blue,6kg Top Load Washer - Blue | Blue,,4000,Home and Kitchen,blackfriday,7
11/15/2018,3400861,Electric Cooking Plate ECP-215,Electric Cooking Plate ECP-216,,4000,Home and Kitchen,blackfriday,8
11/15/2018,3402501,PF4 - Silver & Black,PF4 - Silver & Black,,4000,Phones and Tablets,blackfriday,35
11/15/2018,3402502,PF4 - Black,PF4 - Black,,4000,Phones and Tablets,blackfriday,8
11/15/2018,3402517,"E16 - 4G, 2GB RAM/ 16GB ROM - Gold + Free Tempered Glass Protector","E16 - 4G, 2GB RAM/ 16GB ROM - Gold + Free Tempered Glass Protector",,4000,Phones and Tablets,blackfriday,20
11/15/2018,3405050,Jiepak 3.1 Channel Bluetooth Home Theater System - JP-C1,Jiepak 3.1 Channel Bluetooth Home Theater System - JP-C2,,4000,Electronics,blackfriday,8
11/15/2018,3433344,6kg Washing Machine -twin Tub Blue,6kg Washing Machine -twin Tub Blue,,4000,Home and Kitchen,blackfriday,17
11/15/2018,3441751,Hair Now Now Hair Growth Serum,Hair Now Now Hair Growth Serum,,4000,"Beauty, Health & Personal Care",blackfriday,13
11/15/2018,3525633,Rechargeable Clipper G-228S,Rechargeable Clipper G-228S,,4000,"Beauty, Health & Personal Care",blackfriday,26
11/15/2018,3527704,Century 3 Burner GAS Cooker CGS 301-A,Century 3 Burner GAS Cooker CGS 301-A,,4000,Home and Kitchen,blackfriday,8
11/15/2018,3533843,AC Pet Hair Clipper,AC Pet Hair Clipper,,4000,Home and Kitchen,blackfriday,20
11/15/2018,3544095,Binatone Dry Iron DI-108- White & Grey,Binatone Dry Iron DI-108- White & Grey,,4000,Home and Kitchen,blackfriday,9
11/15/2018,3559167,1HP Split AC - Supercool HSU - 09SPW1 + Free Installation Kit,1HP Split AC - Supercool HSU - 09SPW1 + Free Installation Kit,,4000,Home and Kitchen,blackfriday,104
11/15/2018,3565720,Fridge - DCOOL 107 SLV,Fridge - DCOOL 107 SLV,,4000,Home and Kitchen,blackfriday,13
11/15/2018,3576862,Konga Courier Bag - Small - Bundle of 50,Konga Courier Bag - Small - Bundle of 51,,4000,Office & School Supplies,blackfriday,49
11/15/2018,3576880,Konga Courier Bag - Large - Bundle of 50,Konga Courier Bag - Large - Bundle of 51,,4000,Office & School Supplies,blackfriday,75
11/15/2018,3576898,Konga Courier Bag - Extra Large - Bundle of 50,Konga Courier Bag - Extra Large - Bundle of 51,,4000,Office & School Supplies,blackfriday,174
11/15/2018,3576899,Konga Invoice Sleeves - Bundle of 10,Konga Invoice Sleeves - Bundle of 11,,4000,Office & School Supplies,blackfriday,56
11/15/2018,3589139,Solo Manual 20L Microwave - HTMO-2070M,Solo Manual 20L Microwave - HTMO-2070M,,4000,Home and Kitchen,blackfriday,8
11/15/2018,3636895,Century Automatic Voltage Stabilizer CVR-TUB 2000VA,Century Automatic Voltage Stabilizer CVR-TUB 2000VA,,4000,Automobile & Industrial,blackfriday,48
11/15/2018,3707995,Refrigerator - T-Mount Double Door-95EX-SLV,Refrigerator - T-Mount Double Door-95EX-SLV,,4000,Home and Kitchen,blackfriday,25
11/15/2018,3790939,"Sharp 24"" LED 24LE155M with USB Video","Sharp 24"" LED 24LE155M with USB Video",,4000,Electronics,blackfriday,10
11/15/2018,3793982,Food & Smoothie Blender - BLS-350,Food & Smoothie Blender - BLS-351,,4000,Home and Kitchen,blackfriday,21
11/15/2018,3870754,"24"" LED  - HD TV","24"" LED  - HD TV",,4000,Electronics,blackfriday,15
11/15/2018,3870768,"32"" HD LED TV","32"" HD LED TV",,4000,Electronics,blackfriday,34
11/15/2018,3877037,"Ice 3 5.0-inch -1gb, 8gb Rom- Android 6.0, 8mp + 2mp Smartphone-black","Ice 3 5.0-inch -1gb, 8gb Rom- Android 6.0, 8mp + 2mp Smartphone-black",,4000,Phones and Tablets,blackfriday,18
11/15/2018,3877039,"Camon CM 5.7-Inch-2GB, 16GB ROM- Android 7.0 , 13MP + 13MP Smartphone - City Blue","Camon CM 5.7-Inch-2GB, 16GB ROM- Android 7.0 , 13MP + 13MP Smartphone - City Blue",,4000,Phones and Tablets,blackfriday,11
11/15/2018,3877040,"ICE2+ 5.5-Inch -1GB, 8GB ROM- Android 7.0, 5MP + 2MP Smartphone-Black","ICE2+ 5.5-Inch -1GB, 8GB ROM- Android 7.0, 5MP + 2MP Smartphone-Black",,4000,Phones and Tablets,blackfriday,17
